%OpenBCI Raw EEG Data % %Sample Rate = 250.0 Hz %First Column = SampleIndex %Other Columns = EEG data in microvolts,,,,,,,,,,,,,,,,
-26,3302.4,37.73,6997.03,14319.87,770.64,16817.67,-1031.26,12026.91,3302.4,37.73,6997.03,14319.87,770.64,16817.67,-1031.26,12026.91
-25,3214.2,19.85,6837.67,13981.3,740.78,16422.99,-1015.1,11746.2,3214.2,19.85,6837.67,13981.3,740.78,16422.99,-1015.1,11746.2
-24,3078.95,24.54,6520.14,13342.18,718.54,15668.35,-955.74,11213.87,3078.95,24.54,6520.14,13342.18,718.54,15668.35,-955.74,11213.87
-23,2914.8,10.48,6194.18,12661.81,667.74,14867.86,-913.2,10646.16,2914.8,10.48,6194.18,12661.81,667.74,14867.86,-913.2,10646.16
-22,2840.01,26.89,6019.12,12303.11,658.84,14444.99,-874,10349.13,2840.01,26.89,6019.12,12303.11,658.84,14444.99,-874,10349.13
-21,2759.9,21.7,5860.16,11984.36,634.52,14073.08,-860.12,10081.19,2759.9,21.7,5860.16,11984.36,634.52,14073.08,-860.12,10081.19
-20,2642.89,29.26,5598.11,11458.96,615.81,13455.57,-814.12,9640.04,2642.89,29.26,5598.11,11458.96,615.81,13455.57,-814.12,9640.04
-19,2503.93,26.93,5302.77,10855.35,576.76,12749.66,-777.51,9133.37,2503.93,26.93,5302.77,10855.35,576.76,12749.66,-777.51,9133.37
-18,2421.01,32.37,5115.11,10464.46,563.13,12291.45,-743.71,8804.87,2421.01,32.37,5115.11,10464.46,563.13,12291.45,-743.71,8804.87
-17,2343.51,29.41,4956.72,10152.85,542.63,11925.82,-722.9,8544.69,2343.51,29.41,4956.72,10152.85,542.63,11925.82,-722.9,8544.69
-16,2125,35.11,4479.58,9183.46,492.19,10785.56,-659.64,7732.72,2125,35.11,4479.58,9183.46,492.19,10785.56,-659.64,7732.72
-15,2038.99,27.67,4289.75,8783.65,470.68,10318.37,-625,7400.53,2038.99,27.67,4289.75,8783.65,470.68,10318.37,-625,7400.53
-14,1968.16,24.52,4133.24,8476.05,458.5,9958.1,-603.61,7139.91,1968.16,24.52,4133.24,8476.05,458.5,9958.1,-603.61,7139.91
-13,1877.81,23.31,3953.53,8090.75,436.95,9507.02,-575.36,6815.74,1877.81,23.31,3953.53,8090.75,436.95,9507.02,-575.36,6815.74
-12,1770.06,20.18,3730.28,7642.22,420.57,8979.77,-540.42,6440.39,1770.06,20.18,3730.28,7642.22,420.57,8979.77,-540.42,6440.39
-11,1668.09,17.3,3544.63,7248.92,391.76,8519.48,-520.42,6106.94,1668.09,17.3,3544.63,7248.92,391.76,8519.48,-520.42,6106.94
